id,title,year,episodes
1,"Mark, The",1925,383
2,"Killers, The",1999,410
3,Impy's Island,1953,145
4,Like Stars on Earth (Taare Zameen Par),1910,977
5,You're Next,1947,136
6,Archangel,1905,541
7,Something Wild,2024,435
8,"Very Brady Sequel, A",1952,138
9,"Great White Hype, The",1918,41
10,"Frightened City, The",1970,478
11,October,1936,203
12,My Name is Khan,1981,980
13,Begin Again,1976,482
14,Being John Malkovich,1906,33
15,Heavy Petting,2012,427
16,16 Years of Alcohol,1944,919
17,"Way We Were, The",1952,529
18,"Shot at Glory, A",1981,612
19,"Purge: Anarchy, The",1998,410
20,Reel Bad Arabs: How Hollywood Vilifies a People,1966,35
21,The Water Diviner,1945,465
22,Vivacious Lady,2001,220
23,In the Heat of the Night,2027,941
24,Undisputed II: Last Man Standing,1977,809
25,Fate of a Man (Sudba cheloveka),1999,175
26,"Future, The",1937,18
27,Noi the Albino (Nói albinói),2004,67
28,Rosencrantz and Guildenstern Are Dead,1933,170
29,Three Resurrected Drunkards (Kaette kita yopparai),1924,409
30,How the West Was Fun,1912,720
31,Gia,1954,967
32,My Boyfriend's Back,1937,206
33,Outsider,1982,750
34,Outer Space,1941,173
35,Love Story 2050,1982,991
36,Santa Fe Trail,1932,821
37,"Bad News Bears in Breaking Training, The",1901,128
38,"Beverly Hillbillies, The",2030,942
39,Marvin's Room,1999,626
40,My Sassy Girl,1903,994
41,Married to the Mob,2023,136
42,Two Rabbits (2 Coelhos),1924,464
43,"Sleeping Car, The",2004,770
44,Adjust Your Tracking,2005,940
45,Piranha II: The Spawning,1914,311
46,Zero Charisma,1913,980
47,"Perils of Pauline, The",1963,639
48,Comanche Station,2022,426
49,"Romulus, My Father",1944,638
50,"Nosferatu (Nosferatu, eine Symphonie des Grauens)",1913,848
51,Father Takes a Wife,1983,371
52,Damnation Alley,1989,99
53,Ten,1938,333
54,Crime Spree,2003,778
55,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",2022,176
56,3 Ninjas: High Noon On Mega Mountain,1925,353
57,Late Autumn (Akibiyori),1951,851
58,Shanghaied,1910,793
59,"Tarzan, the Ape Man",1933,547
60,Cloak & Dagger,2029,125
61,"Trouble with Angels, The",1930,185
62,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),2021,801
63,Attack of the Puppet People,1906,887
64,Loving You,1970,516
65,First Cousin Once Removed,1914,593
66,"Crazy Class Wakes Up, The (Hababam sinifi uyaniyor)",1949,898
67,When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki),1983,299
68,Back to the Future,1969,963
69,May in the Summer,1951,18
70,"For a Good Time, Call...",2018,110
71,Switching Goals,2003,127
72,"Mark, The",1920,509
73,Hudson Hawk,1902,392
74,Bigger Than the Sky,1900,999
75,"Night in Casablanca, A",1909,634
76,Klown: The Movie (Klovn),1924,538
77,There's Always Tomorrow,1915,640
78,"Joyless Street, The (Die freudlose Gasse)",2010,174
79,"Belles of St. Trinian's, The",2015,277
80,Flodder in Amerika!,1929,100
81,"Maidens' Conspiracy, The (Tirante el Blanco)",1916,13
82,"Tramp, The (Awaara) (Awara)",1982,647
83,Piccadilly,2020,948
84,Midway,1945,441
85,"Sin of Madelon Claudet, The",1977,182
86,"Black Pirate, The",2003,530
87,Honey,1986,255
88,Paradise,1990,106
89,Dune,1998,476
90,Keep the River on Your Right: A Modern Cannibal Tale,1934,528
91,Examined Life,1991,877
92,6 Days to Air: The Making of South Park,1925,175
93,Fay Grim,1955,196
94,"King - Jari Litmanen, The (Kuningas Litmanen)",1999,921
95,Fifty Shades of Grey,1944,446
96,31 North 62 East,1953,258
97,"Escort, The (Scorta, La)",1916,816
98,Craig Ferguson: A Wee Bit o' Revolution,1989,255
99,Dead Bang,1933,873
100,Jalla! Jalla!,1936,941
